Time (s),Temperature (C)
0,26.1024610887119
0,26.5533406508109
0,26.1024610887119
0,26.6177520172242
0,26.5533406508109
0,26.4889292844974
0,26.4245179182837
0,26.9398088507882
0,27.0042202178005
0,27.1974543194367
0,26.8753974838757
0,27.0042202178005
0,27.1974543194367
0,27.4550997896831
0,27.3262770543601
0,27.5195111574945
0,27.1974543194367
0,27.5839225254058
0,27.5195111574945
0,27.3262770543601
0,27.4550997896831
0,27.5195111574945
0,29.194206755678
0,29.7094977225712
0,30.0959659519467
