Time (s),Temperature (C)
0.5,25.9092269921661
1,26.1024610887119
1.5,26.3601065521698
2,25.9092269921661
2.5,25.9736383575817
3,26.1024610887119
3.5,26.1024610887119
4,26.1024610887119
4.5,26.0380497230969
5,26.2956951861556
5.5,25.9736383575817
6,26.2956951861556
6.5,25.9092269921661
7,26.2956951861556
7.5,26.4889292844974
8,26.2956951861556
8.5,27.0686315849127
9,26.5533406508109
9.5,26.5533406508109
10,26.8109861170631
10.5,26.7465747503503
11,27.0686315849127
11.5,27.0042202178005
12,27.5195111574945
12.5,27.6483338934169
13,27.2618656868485
13.5,28.0348021035827
14,30.0959659519467
